CONSTITUENCY,DISTRICT,LDF,UDF,NDA,NOTA,OTHERS,EVM VOTES,POSTAL VOTES,TOTAL VOTES,LEAD,WINNER,%LDF,%UDF,%NDA,%NOTA,%POSTAL,%LEAD
Nemom,Thiruvananthapuram,55837,36524,51888,756,1012,142582,3435,146017,3949,LDF,38.24006794,25.01352582,35.53558832,0.517747933,2.352465809,2.704479615
Neyyattinkara,Thiruvananthapuram,65497,51235,21009,907,643,134789,4502,139291,14262,LDF,47.02170277,36.78270671,15.08281224,0.651154777,3.232082475,10.23899606
Parassala,Thiruvananthapuram,78548,52720,29850,630,1342,158727,4363,163090,25828,LDF,48.16236434,32.32570973,18.30277761,0.386289779,2.675210007,15.83665461
Thiruvananthapuram,Thiruvananthapuram,48748,41659,34996,1054,1779,125900,2336,128236,7089,LDF,38.01428616,32.48619732,27.29030849,0.821922081,1.821641349,5.528088836
Vamanapuram,Thiruvananthapuram,73137,62895,5603,716,4174,141815,4710,146525,10242,LDF,49.91434909,42.92441563,3.823920833,0.488653813,3.214468521,6.989933458
Varkala,Thiruvananthapuram,68816,50995,11214,815,3389,131784,3445,135229,17821,LDF,50.88849285,37.71010656,8.29259996,0.602681378,2.547530485,13.17838629
Vattiyoorkkavu,Thiruvananthapuram,61111,35455,39596,854,620,133500,4136,137636,21515,LDF,44.40044756,25.75997559,28.76863611,0.620477201,3.005027754,15.63181144
Chalakkudi,Thrissur,60831,61888,17301,1000,2134,140012,3142,143154,1057,UDF,42.49339872,43.23176439,12.08558615,0.698548416,2.194839124,0.738365676
Chelakkara,Thrissur,83415,44015,24045,720,1120,150570,2745,153315,39400,LDF,54.40759221,28.70886736,15.68339693,0.469621368,1.790431465,25.69872485
Guruvayoor,Thrissur,77072,58804,6294,1007,3582,144729,2030,146759,18268,LDF,52.51602968,40.06841148,4.288663728,0.686158941,1.383220109,12.4476182
Irinjalakkuda,Thrissur,62493,56544,34329,590,1223,151104,4075,155179,5949,LDF,40.27155736,36.43792008,22.12219437,0.380206085,2.625999652,3.833637283
Kaipamangalam,Thrissur,73161,50463,9066,466,2927,133413,2670,136083,22698,LDF,53.76204228,37.08251582,6.662110624,0.342438071,1.962037874,16.67952647
Kodungallur,Thrissur,71457,47564,28204,870,807,144695,4207,148902,23893,LDF,47.98928154,31.94315724,18.94131711,0.584276907,2.825348216,16.0461243
Kunnamkulam,Thrissur,75532,48901,27833,559,2006,151452,3379,154831,26631,LDF,48.78351235,31.58346843,17.97637424,0.36103881,2.182379498,17.20004392
Manalur,Thrissur,78337,48461,36566,712,3426,162972,4530,167502,29876,LDF,46.76779979,28.93159485,21.8301871,0.425069551,2.70444532,17.83620494
Nattika,Thrissur,72930,44499,33716,830,1579,150227,3327,153554,28431,LDF,47.49469242,28.97938185,21.95709653,0.54052646,2.166664496,18.51531057
Ollur,Thrissur,76657,55151,22295,827,1241,153563,2608,156171,21506,LDF,49.08529753,35.31449501,14.27601795,0.529547739,1.669964334,13.77080252
Puthukkad,Thrissur,73365,46012,34893,1069,944,151948,4335,156283,27353,LDF,46.94368549,29.44146196,22.32680458,0.684015536,2.77381417,17.50222353
Thrissur,Thrissur,44263,43317,40457,723,477,125832,3405,129237,946,LDF,34.24947964,33.51749112,31.30450258,0.559437313,2.634694399,0.731988517
Wadakkancheri,Thrissur,81026,65858,21747,842,388,165920,3941,169861,15168,LDF,47.70135581,38.77170157,12.80282113,0.495699425,2.320132344,8.929654247
Kalpetta,Wayanad,64782,70252,14113,828,2234,149111,3098,152209,5470,UDF,42.56121517,46.15495799,9.272119257,0.543988857,2.035359276,3.593742814
Mananthavadi,Wayanad,72536,63254,13142,797,2852,149053,3528,152581,9282,LDF,47.53933976,41.45601353,8.613130075,0.522345508,2.312214496,6.083326233
Sulthan Battheri,Wayanad,69255,81077,15198,1160,742,163574,3858,167432,11822,UDF,41.36306082,48.42383774,9.077117875,0.692818577,2.304219026,7.060776912
